,岗位,招聘关键字
54,大客户经理,"['拜访', '开拓', '管理', '销售', '提供', '岗位职责', '客户', '计划', '保险', '客户资源', '理财', '转化率', '金融', '维护', '银行', '团队', '营销', '具有', '公司']"
55,融资,"['从业', '能力', '融资', '销售', '提供', '客户', '晋升', '渠道', '私募', '晋升制度', '良好', '金融', '维护', '团队', '培训', '基金', '沟通', '技巧', '公司', '贷款']"
56,软件研发工程师,"['组态', 'oracle', '产品软件', '多线程', '专业本科', '设计', '自动化', '软件', '岗位职责', 'bms', '语言', 'web', '功能设计', '基本素质', 'c++', '经验', '软件系统', 'sql', '具有', 'pcb', '电子相关', '规约', 'x86', '脚本语言', 'linux', '熟悉', '嵌入式操作系统', '软件开发', '串口', '项目组', '原理图', '本科', '单片机', '测试', '深入分析', '开发', '代码', '软件设计', '精通', '维护', '框架', 'winform', '软件架构', '时序', '解决', '程序', '编写', '调试', '软件工程', 'tcp', '以太网', '独立', 'sqlserver', '开发工具', '文档', 'c语言', '面向对象', 'visual', 'css3', '编程语言', '通讯', '电力', 'c#', '二次开发', 'udp', '以上学历', '设计模式', 'mysql', '升级', 'div', '程序开发', 'qt', 'windows', 'st', '理论知识', 'java', 'net', '软件测试', '编程', '配网', '电力系统', '编程技术', 'simulink', '技术', '数据库', '计算机相关']"
57,监理经理,"['完整', '助理', '岗位', '软件', '竣工', '验收', '实测', '检查', '项目', '建设项目', '总裁', '确保', '进度', '真实', '熟练', '参与', '落实', '工作', '片区', '协助']"
58,策划总监,"['策划', '广告', '执行', '创意', '营销策划', '撰写', '品牌', '传播', '策划案', '文案', '方案', '策略', '项目', '带领', '活动', '公关活动', '团队', '提案', '营销', '沟通']"
59,咨询经理,"['咨询', '管理', '提供', '研究', '客户', '顾问', '分析', 'word', 'ppt', '调查', '开展', '项目', '论证', '调研', 'excel', '报告', '经验', '企业', '沟通', '公司']"
60,hrbp,"['发展', '推动', '人力', '以上学历', '管理', '业务部门', '人力资源', '岗位职责', '招聘', '部门', '人际沟通', '有效', '组织', '人才', '员工', 'hrbp', 'hr', '落地', '业务', '建设', '经验', '资源管理', '搭建', '模块', '沟通', '人员']"
61,硬件开发工程师,"['通讯', '定位', '电子相关', 'pcb', '元器件', '电力', 'eda', '了解', '电路设计', 'arm', '器件', '以上', '过程', '调试', '编写', '产品', '控制器', '万用表', '专业本科', '板卡', 'emc', '模拟', 'ups', '设计', '熟悉', '专业对口', 'layout', '岗位职责', '动手', '串口', '信号', '根据', '选型', '开发工具', '电磁兼容', '文档', '层板', '产线', '硬件', '原理图', '强电', '嵌入式', '相关', 'fpga', '测试', '单片机', '电力行业', '开发', '电子', '完整性', '电子行业', 'dsp', '精通', 'stm32', '研发', 'mcu', '电表', '使用', '电厂', '经验', '功能测试', '智能', '技术', 'bom', '电路', '测试报告', 'cpu', '逆变器', '具有', '单元测试', '调测', '数字电路']"
62,技术服务经理,"['跟踪服务', '差旅费', '大型', '五险', '以上学历', '技术培训', '一金', '实报实销', '就近', '两年', '营养', '养殖场', '外企', '详细', '猪场', '畜牧', '调研', '写出', '研究生', '配方']"
63,销售顾问,"['早九晚', '客户档案', '休息', '进店', '课程', '家长', '团建', '岗位职责', '刚需', '保险', '二手房', '完成', '高端', '陵园', '薪资', '顾客', '50%', '房产', '空杯', '工商', '古镇', 'job', '拓展', '无责', '业务', '挣钱', '经纪人', '学习', '客户关系', '公司', '自己', '孩子', '行业', '五险', '口齿清晰', '贷后', '待遇', '集团', '顾问', '客户', '看房', '家居', '售前', '双休', '电销', '建材', '职位', '买卖', '渠道', '定期', '教育', '邀约', '抗压', '享受', '金融', '效能', '网销', '孝心', '置业', '维护', '提成', '团队', '欣欣', '企业', '达成', '服务', '表达能力', '法学专业', '免费', '咨询', '1.18', '任务', '底薪', '以上', '高薪', '经费', '高额', '气质佳', '进行', '洽谈', '新人奖', '销售', '商圈', '提供', '一金', '合作', '沟通了解', '享有', '晋升', '客户资源', '有效', '岗前', '签单', '良好', '专业', '年龄', '房地产', '培训', '语言表达', '意识', '20w', '汽车', '房源', '学员', '上班时间', '绿色', '协作关系', '拜访', '15%', '法律顾问', '法定', '以上学历', '应变能力', '知识产权', '大专', '家政', '20%', '商务洽谈', '租赁', '咨询服务', '亲和力', '关系', '回款', '贷前', '统招', '空缺', '行业动态', '客户资料', '晋升制度', '封顶', '电话', '外向', '带薪', '6k', '肯吃苦', '饭补', '30%', '聚餐', '链家', '描述', '沟通', '房屋']"
64,财务经理,"['财务', '财务主管', '经营', '会计师', '决策', '以上', '管理程序', '财务计划', '以上学历', '管理', '会计职称', '进行', '事项', '财会', '审核', '财务部', '管理工作', '岗位职责', '分析', '资金', '成本', '会计凭证', '报表', '成本费用', '统招', '年度', '有效', '组织', '会计', '财务预算', '流程', '相关', '审计', '财务制度', '本科学历', '监督', '审计工作', '预算', '财务管理', '财务软件', '体系', '会计核算', '总账', '费用', '统筹', '制定', '税务', '决算', '成本核算', '经验', '核算', '落实', '公司财务', '决策依据', '账务', '全面', '财务报表', '编制', '控制', '财务部门', '公司', '各项']"
65,销售专员,"['节日', '个人', '客户档案', '区域', '开拓', '课程', '家长', '每单', '技术培训', '医疗', '团建', '岗位职责', '分析', '市场', '收集', '二手房', '完成', '联系', '薪资', '50%', '房产', '提交', '老年', '古镇', 'job', '拓展', '无责', '业务', '优秀', '目标', '经验', '经纪人', '康养', '社保', '客户关系', '餐饮', '交际', '公司', '资源', '每周', '行业', '推广', '五险', '口齿清晰', '勇于', '行程', '总结', '集团', '待遇', '顾问', '潜在', '客户', '看房', '双休', '电销', '包餐', '出差', '根据', '医院', '职位', '买卖', '精准', '旅游', '定期', '假期', '指标', '接待', '邀约', '敢于', '抗压', '市场营销', '开发', '金融', '效能', '配合', '置业', '维护', '提成', '团队', '海运', '欣欣', '企业', '达成', '经纪', '网约车', '表达能力', '法学专业', '免费', '贷款', '咨询', '1.18', '任务', '广告', '报名', '底薪', '高薪', '经费', '产品', '高额', '精英', '代理', '进行', '洽谈', '新人奖', '销售', '提供', '物流', '一金', '合作', '沟通了解', '倒休', '普通话', '空运', '享有', '生育', '晋升', '客户资源', '福利待遇', '体检', '有效', '专做', '岗前', '签单', '遵纪守法', '良好', '氛围', '来访', '楼盘', '判断能力', '专业', '疫情', '语言表达', '以及', '培训', '销售主管', '落实', '欲望', '20w', '意向', '房源', '学员', '上班时间', '优先选择', '绿色', '老客户', '福利', '协作关系', '潜力', '拜访', '节假日', '法律顾问', '以上学历', '应变能力', '知识产权', '大专', '20%', '租赁', '信用卡', '要求', '当天', '关系', '回款', '左右', '统招', '空缺', '行业动态', '晋升制度', '1.2', '每月', '体系', '单率', '电话', '带薪', '开发新', '产业', '肯吃苦', '饭补', '线上', '描述', '聚餐', '链家', '沟通', '技巧']"
66,金融产品经理,"['福利', '需求', '底薪', '行业', '融资', '法定', '五险', '产品', '以上学历', '六险', '贷后', '销售', '提供', '一金', '岗位职责', '职后', '客户', '合作', '分析', '双休', '晋升', '福利待遇', '渠道', '理财', '享受', '互联网', '金融', '经理', '电话', '拓展', '维护', '业务', '提成', '团队', '培训', '经验', '沟通', '公司', '贷款']"
67,php开发工程师,"['系统', '设计模式', 'linux', 'mysql', '熟悉', 'redis', '程序开发', 'css', 'mvc', '开发', '代码', '精通', 'laravel', '优化', '框架', 'php', 'html', '经验', '技术', '数据库']"
68,销售主管,"['能力', '拉访', '管理', '计算机操作', '岗位职责', '二手房', '完成', '积极进取', '带领', 'job', '拓展', '业务', '建设', '目标', '经验', '精耕', '行业', '五险', '互帮互助', '待遇', '集团', '系统管理', '客户', '看房', '圈层', '电销', '原生态', '买卖', '组织', '教育', '开展', '效能', '佣金', '维护', '制定', '全方位', '提成', '团队', '欣欣', '法学专业', '下属', '免费', '底薪', '高薪', '经费', '高额', '校区', '洽谈', '新人奖', '销售', '业绩', '提供', '一金', '客源', '计划', '享有', '晋升', '部门', '客户资源', '有效', '专业', '培训', '语言表达', '销售主管', '落实', '20w', '房源', '问题', '上班时间', '绿色', '拜访', '法律顾问', '以上学历', '平米', '知识产权', '20%', '租赁', '关系', '空缺', '行业动态', '晋升制度', '售中', '肯吃苦', '饭补', '聚餐', '链家', '抗压']"
69,客户经理,"['能力', '开拓', '类及', '岗位职责', '传播', '稳重', '按照', '报备', '业务', '经验', '当月', '设计师', '客户关系', 'party', '公司', '7%', '执行', '行业', '五险', '满意度', '有限', '贷后', '广告行业', '客户', '双休', '方案', '渠道', '南沙', '项目', '实物', '金融', '上级部门', '广告公司', '不限有', '维护', '提成', '团队', '提案', '服务', '出房', '管理制度', '表达能力', '贷款', '设计部', '跟踪服务', '买卖双方', '广告', '底薪', '撰写', '气质佳', '进行', '销售', '提供', '一金', '合作', '晋升', '客户经理', '新入', '公关', '主要', '签单', '良好', '协调', '富力', '收房', '培训', '意识', '意向', '端口', '协作关系', '法定', '以上学历', '大专', '周岁', '家装', '咨询服务', '退租', '理财', '经理', '带薪', '计划指标', '银行', '找房', '沟通', '中介费']"
70,高级理财经理,"['以上学历', '沙龙', '提供', '岗位职责', '客户', '财富', '净值', '保质', '关系', '根据', '人际交往', '渠道', '理财', '理财产品', '信托', '金融', '维护', '银行', '服务', '具有']"
71,风控经理,"['从业', '行业', '催收', '法律法规', '征信', '提醒', '资格', '以上学历', '五险', '进行', '贷后', '风控', '清收', '审核', '控制', '一金', '识别', '岗位职责', '核查', '逾期', '资信', '信用卡', '分析', '完善', '记录', '风险', '评估', '还款', '根据', '项目风险', '风险管理', '信贷', '客户资料', '流程', '私募', '查看', '审批', '账户', '金融', '体系', '电话', '无责', '业务', '股权', '法律', '投后', '基金', '全日制', '交办', '沟通', '公司', '贷款']"
72,大客户代表,"['销售策略', '需求', '挖掘', '行业', '以上学历', '销售', '人力资源', '团建', '一金', '岗位职责', '合作', '沟通了解', '客户', '公关能力', '本科', '合同', '人际交往', '维护', '直聘', '客户关系']"
73,设计部经理,"['设计部', '任务', '组建', '管理', '设计', '岗位职责', '家装', '部门', '完成', '监督', '签单', '协调', '带领', '产值', '团队', '目标', '经验', '谈单', '设计师', '室内设计']"
74,ui设计师,"['ui', '风格', '体验', '涵盖', 'ai', '用户', 'banner', '动效', '设计组', 'illustrator', '设计方案', '擅于', 'c4d', 'sketch', '主美', '产品', 'h5', '图标', 'app', '专业本科', '大屏', '端及', '用户界面', '设计', 'div', '总结', '岗位职责', '美术', 'pc', '前端', '艺术设计', '交互', '构思新颖', '开发人员', 'css', 'android', '方法论', '复用', '色彩感', '科普', 'axure', 'flash', '专升本', '棋牌类', '微信端', '视觉', '设计规范', 'web', 'photoshop', '可议', '视野', 'ios', 'javascript', '创造力', '页面', 'logo', '细节', 'html', '界面', '移动', '色彩', '平面设计', '用户群', '汽车', '界面设计', '全日制', '切图', '素养', 'ue', '网页']"
75,移动端开发工程师,"['服务平台', '开发技术', 'sdk', '解决问题', 'angularjs', '严谨', '逻辑思维', 'android', '不同', '兼容性', 'javascript', '开发', '最终用户', '版本', 'html', '移动', '流畅', '测试工具', '浓厚兴趣', '内存']"
76,财富顾问,"['从业', '以上学历', '提供', '客户', '财富', '客户资源', '净值', '高端', '渠道', '理财', '证券', '资格考试', '开发', '金融', '维护', '银行', '产品销售', '客户关系', '服务', '具有']"
77,董事长助理,"['以上学历', '岗位职责', '行程', '形象', '文件', '左右', '范围', '协调', '董事长', '重要', '知识', '年龄', '疫情', '处理', '协助', '各项', '做好', '交办', '公司', '写作能力']"
78,投资理财顾问,"['资源', '咨询', '需求', '开拓', '提供', '岗位职责', '客户', '双休', '保险', '客户资源', '理财', '理财产品', '证券', '良好', '金融', '无责', '维护', '优秀', '具有', '公司']"
79,信贷管理,"['底薪', '融资', '精英', '口齿清晰', '优秀人才', '以上学历', '进行', '贷后', '销售', '提供', '一金', '岗位职责', '客户', '电销', '晋升', '梦想', '贷前', '申请', '主要', '信贷业务', '电话', '专业培训', '银行', '提成', '培训', '沟通', '公司', '贷款']"
80,审计项目经理,"['注册', '会计师', '以上学历', '进行', '岗位职责', '独立', '组织协调', '完成', '本科', '事务所', '审计', '敬业精神', '审计报告', '项目', '大型项目', '带领', '审计工作', '带队', '交办', '税务师']"
81,机械结构工程师,"['结构设计', '2d', '热能', 'cad', '需求', '诚信', '产品', '以上学历', '规格书', '传动', '退休', '设计', '3d', 'solidworks', '岗位职责', '化工机械', '机械', '机械设计', '回收', '根据', 'autocad', 'ug', '减速机', '结构', 'pro', '接受', '设计标准', '经验', '返聘', '工艺', 'bom', '机械工程', '阶段', '图纸', '同步带', '非标']"
82,设计经理/主管,"['设计部', '创意设计', '解决', 'ai', 'cad', 'vi', '以上', '创意', '主持', '管道', '管理', '设计', '软件', '岗位职责', '家装', '美术', '画册', '实际', '独立', '方案', '施工图', '指导', '根据', 'autocad', '工艺流程', '组织', '装修', '手绘', '主要', '环境工程', '废气', '结构', '项目', '视觉', '协调', 'photoshop', '广告设计', '细化', 'cdr', 'pid', '专业', '报告', '处理', '团队', '经验', '平面设计', '计划编制', '给排水', '环保', '谈单', '设计师', '室内设计', '沟通', 'ps', '问题']"
83,专利代理人,"['检索', '挖掘', '专利', '撰写', '以上学历', '知识产权', '代理', '岗位职责', '文件', '分析', '理工科', '代理人', '专利申请', '案件', '专业', '领域', '侵权', '电学', '表达能力', '答复']"
84,招商经理,"['亚标', '产业园', '任职', '拜访', '客户档案', '商户', '以上学历', '大专', '朝阳', '洽谈', '兼优', '品牌', '谈判', '市场动态', '有众', '租赁', '提供', '岗位职责', '解决问题', '分析', '加盟', '计划', '商业地产', '市场', '人际沟通', '客户资源', '购物中心', '收集', '完成', '四板', '信息', '商业', '职位', '渠道', '组合', 'cctv', '不限', '品行', '业态', '商务谈判', '签约', '提交', '多个', '回访', '招商', '租户', '搜集', '市场调研', '接洽', '制定', '入驻', '目标', '经验', '企业', '执行力', '沟通']"
85,客户经理信贷,"['一金', '获客', '岗位职责', '提成', '底薪', '双休', '全日制', '五险', '金融', '客户资源', '贷后', '外向', '贷前', '金融公司', '信贷', '贷款']"
86,采购经理,"['资源', '供货', '大型', '到货', '厂商', '采购部', '商品', '供应', '以上学历', '管理', '大专', '进行', '确认', '土木工程', '谈判', '机械设备', '供应链', '做到', '岗位职责', '要求', '品德', '成本', '部门', '化工类', '评估', '必须', '机电设备', '厂家', '合同', '分管', '制度', '品类', '其它', '组织', '总结报告', '流程', '主要', '采购计划', '采购', '申请单', '商务谈判', '供应商', '提交', '遵纪守法', '确保', '房补', '工程', '制定', '业务流程', '设备厂', '食品安全', '经验', '物资', '填写', '肉类', '类产品', '公司']"
87,投资顾问,"['从业', '资产', '底薪', '投资', '资格', '以上学历', '销售', '提供', '一金', '岗位职责', '顾问', '客户', '客户资源', '净值', '理财', '理财产品', '证券', '良好', '金融', '维护', '服务', '沟通', '公司']"
88,会计文员,"['较强', '日常事务', '围护', '拍思', '资料', '客服', '数据分析', '合作', '套餐', '报税', '整理', '打电话', '宣传', '会计', '媒体', '做账', '处理', '意识', '老板', '具有']"
89,信贷专员,"['主动', '月薪', '口齿清晰', '贷后', '销售', '提供', '一金', '周岁', '岗位职责', '客户', '客户资源', '福利待遇', '贷前', '信贷', '定期', '申请', '优秀者', '年休假', '金融', '电话', '知识', '生日', '无责', '开发新', '提成', '培训', '意向', '敏捷', '抗压', '交际', '公司', '贷款']"
90,理财规划师,"['投资', '五险', '以上学历', '提供', '一金', '岗位职责', '客户', '双休', '净值', '高端', '配置', '理财', '理财产品', '信托', '金融', '专业', '维护', '营销', '客户关系', '服务']"
91,结构工程师,"['结构设计', '中标', '2d', 'cad', '继电保护', '合肥', '10kv', '国家电网', '设计院', '产品', '优秀人才', '以上学历', '大专', 'pkpm', '金具', '进行', '专业本科', '土木工程', '建筑设计', '设计', '3d', '软件', '一金', 'solidworks', '熟悉', '同行业', '岗位职责', '画图', '机械', '模具', '施工图', '机械设计', '五金', 'autocad', '计算', 'ug', '试产', '本科', '大学本科', '相关', '出图', '模具设计', 'pro', '机箱', '塑胶', '结构', '南方电网', '工民建', '配合', '谦虚', '专业', '机电', '开模', '经验', '自主', '工艺', 'bom', '主导', '制图', '电子产品', '五金材料']"
92,机械工程师,"['结构设计', 'solidwork', '2d', 'cad', '化工', '合适', '机加工', '采购部', '调试', '产品', '验证', '以上学历', '设备设计', '大专', '进行', '寻找', '检修', '设计', '自动化', '机械设备', '设备', '物流', '软件', '岗位职责', '机械制图', 'solidworks', '拆分', '加工', '要求', '机械', '有限元', '布置图', '电气工程师', '液压', '机械设计', '机械加工', 'autocad', 'proe', '选型', 'solid', '相关', '医疗器械', '装配', '装配图', '机电', '设计标准', '经验', '工艺', 'bom', '钣金件', '制图', '零部件', '安装', '图纸', '非标']"
93,理财经理,"['从业', '资格', '以上学历', '销售', '提供', '一金', '岗位职责', '客户', '财富', '客户资源', '净值', '高端', '理财', '理财产品', '证券', '信托', '金融', '维护', '服务', '具有']"
94,技术负责人,"['分包', '质量', '标准规范', '检验', '排放', '职务', '环境', '审核', '管理工作', '实验室', '慎投', '计划性', '检测', '组织', '专科毕业', '污水', '技术', '丰富', '控制', '机动车']"
95,软件测试工程师,"['产品软件', '缺陷', '多线程', '专业本科', '设计', '自动化', '软件', '岗位职责', '分析', 'bms', '语言', '工具', 'web', '接口', '基本素质', 'c++', '经验', '软件系统', 'sql', '测试工具', 'pcb', '电子相关', 'x86', '性能', '脚本语言', 'linux', 'python', '熟悉', '嵌入式操作系统', '软件开发', '串口', '项目组', '原理图', '本科', '单片机', '测试', '深入分析', 'bug', '开发', '代码', '软件设计', '精通', '用例', '维护', '框架', 'winform', '功能测试', '软件架构', '时序', '解决', '程序', '编写', '调试', '进行', '软件工程', 'tcp', '独立', 'sqlserver', '文档', 'c语言', '面向对象', '测试环境', 'visual', 'css3', '测试计划', '问题', '编程语言', '通讯', 'c#', '需求', '二次开发', 'udp', '以上学历', '设计模式', 'mysql', '升级', 'div', '程序开发', 'qt', 'st', 'java', 'net', '定位问题', '流程', '软件测试', '编程', '编程技术', 'simulink', '技术', '测试报告', '测试用例', '数据库', '计算机相关']"
96,.net,"['熟悉', '框架', 'net', 'c#', 'html', 'server', 'oracle', 'framework', '开发', 'ajax', 'sql', 'asp', '代码', '数据库', '设计模式', '计算机相关', 'mvc']"
97,策划经理,"['定位', '策划', '广告', '执行', '创意', '推广', '营销策划', '撰写', '品牌', '市场动态', '岗位职责', '传播', '文案', '独立', '方案', '策略', '完成', 'ppt', '媒体', '项目', '活动', '市场调研', '房地产', '拓展', '报告', '提案', '经验', '营销', '沟通', '节点', '提报']"
98,咨询顾问,"['咨询', '较强', '撰写', '管理', '岗位职责', '咨询服务', '客户', '分析', '沟通', '项目经理', 'word', 'ppt', 'mba', '项目', '专业', '调研', 'excel', '参与', '企业', '具有']"
99,置业顾问,"['协作关系', '底薪', '销售', '租赁', '提供', '岗位职责', '咨询服务', '客户', '看房', '二手房', '房产', '楼盘', '置业', '出国游', '业务', '提成', '经纪人', '房源', '职业']"
100,咨询师,"['咨询', '口腔', '整形', '气质佳', '美容', '术后', '进行', '提供', '岗位职责', '亲和力', '解疑', '医美', '医院', '顾客', '咨询师', '良好', '客情', '患者', '微整', '沟通']"
101,美容导师,"['区域', '驻店', '气质佳', '加盟店', '美容', '进行', '导师', '销售', '岗位职责', '合作', '形象', '专业知识', '出差', '店家', '美容店', '活泼开朗', '手法', '美容师', '美导', '美容院', '知识', '培训', '语言表达', '经验', '仪器']"
102,产品运营,"['有无', '创业者', '每周', '1.18', '拉新', '机制', '认知', '洞察', '富有', '完善', '变现', '有效', '4a', '建立', '品味', '思考', '不错', '激情', '判断']"
103,电路设计,"['pcb', '器件', '调试', '模拟', '设计', '软件', '熟悉', 'layout', '原理图', '单片机', '硬件', '测试', '电路板', '开发', '电子', '使用', '智能', '电路', '电路设计', '数字电路']"
104,行政主管,"['电力', '劳动', '劳动纪律', '决定', '会议', '绩效考核', '上市公司', '大型', '店面', '一部分', '日报表', '日常事务', '报酬', '办公', '行政部', '管理', '资料', '实施', '固定资产', '落实工作', '公司员工', '审核', '有序', '人力资源', '一金', '岗位职责', '工作台', '计划性', '行政', '外来人员', '情况', '突发事件', '部门', '建筑行业', '工商管理', '考勤制度', '制度', '有效', '主要', '事务', '日常性', '联系', '情况表', '检查', '请款', '执业资格', '餐费', '能源管理', '协调', '积极主动', '按照', '办公用品', '基础', '年龄', '制定', '领导', '外联', '统筹', '吃苦耐劳', '之间', '处理', '收费', '精神', '写作能力', '人事', '复核', '行政主管', '管理制度', '承受', '档案管理', '所有', '规章制度', '公司', '各项', '人员']"
105,招商主管,"['定位', '商户', '以上学历', '大专', '品牌', '谈判', '写字楼', '租赁', '岗位职责', '计划', '商业地产', '客户资源', '完成', '商业', '业态', '开展', '招商', '制定', '经验', '客户关系']"
106,人力资源经理,"['得体', '交补', '谈吐', '人力', '梯队', '管理', '高新', '考核', '人力资源', '计划书', '手续', '社工', '岗位职责', '行政', '总务', '招聘', '计划', '完善', '科研院所', '统招', '孵化', '调岗', '履历', '流程', '计发', '主要', '薪酬', '职能', '员工', '监督控制', '协调', '公益', '方面', '各个', '体系', '安全控制', '通讯录', '建立', '外联', '建设', '接受', '人事管理', '资源管理', '科创', '职业培训', '战略', '实践', '模块', '管理体系', '说明书', '公司', '各项', '人员']"
107,行政经理,"['推动', '催办', '会议', '资产', '大型', '执行', '保密工作', '办公', '行政部', '管理', '集团', '行政', '形象', '文件', '文秘', '人际沟通', '关系', '公关能力', '组织', '传递', '大学本科', '车体广告', '语言', '公务车', '洞察力', '各类', '维护', '领导', '外联', '使用', '签收', '办公自动化', '敏捷', '日程安排', '事务性', '公司', '各项']"
108,结构设计师,"['结构设计', '设计院', '以上学历', 'pkpm', '进行', '专业本科', '甲级', '土木工程', '设计', '软件', '分析', '施工图', '计算', '完成', '扩初', '结构', '专业', '阶段', '图纸', '建筑设计']"
109,工程经理,"['以上', '设施', '管理', '维修', '设备', '计划', '物业', '机电设备', '组织', '强电', '暖通', '监督', '项目', '确保', '强弱电', '工程', '制定', '保养', '危险源', '物业管理']"
110,嵌入式研发工程师,"['pcb', '实现', '电力', '逻辑', 'arm', '编写', '应用层', '调试', '以上学历', '万用表', 'linux', '通信协议', 'ups', '设计', '熟悉', 'cpld', '驱动', '原理图', '开发工具', '电磁兼容', '文档', '嵌入式', '单片机', '硬件', '编程', 'c语言', '变频器', '开发', '嵌入式软件', '电子', 'c++', 'pid', 'stm32', 'mcu', '经验', '电力设备', 'svg', '电路', '架构设计', '电路设计']"
111,财务主管,"['税收政策', '财务收支', '会计人员', '岗位职责', '支票', '分析', '报税', '成本', '会计凭证', '报表', '库存商品', '会计', '监督', '工商', '全盘', '会计核算', '账务', '相符', '公司', '决策', '财务计划', '以内', '货币资金', '熟悉', 'word', '农业', '资格证书', '组织', '财务预算', '10k', '财务制度', '细致', '财务管理', '预算', '财务软件', '制定', '对账', '有限公司', '控制', '会计科目', '证照', '申报', '梳理', '财务', '财务主管', '会计报表', '以上', '3.3', '会计职称', '手续', '子公司', '原始凭证', '人际交往', '相关', '检查', '企业财务', '费用', 'excel', '成本核算', '交办', '年收入', '编制', '记账', '收据', '记帐', '以上学历', '审核', '往来', '资金', '凭证', '制度', '总公司', '审计', '归集', '体系', '营业部', '汇算', '税务', '核算', '财务报表', '描述']"
112,商家运营,"['o2o', '口碑', '商户', '以上学历', '大专', '商家', '进行', '数据分析', '岗位职责', '合作', '策略', '成长', '外卖', '运营', 'bd', '竞对', '维护', '帮助', '目标', '提升']"
113,证券分析师,"['从业', '解盘', '行业', '投资', '投顾', '撰写', '以上学历', '资格', '研究', '分析', '独立', '逻辑思维', '策略', '本科', '证券', '良好', '录播', 'a股', '报告', '具有']"
114,研发工程师,"['pcb', '注册', '分子生物学', '调试', '产品', '以上学历', '试剂', '技术支持', '生物', '设计', '熟悉', '岗位职责', '文件', '诊断', '实验', '独立', '原理图', '本科', '化学', '单片机', '体外', '测序', '相关', '测试', 'c语言', '开发', '高分子', '医疗器械', '研发', '工艺', '技术', '产品开发', '改进']"
115,销售代表,"['节日', '本行业', '周末', '广告业务', '富有', '岗位职责', '生日会', '25%', '二手房', '信息', '轻松', '过万', '薪资', 'job', '拓展', '业务', '客户关系', '行业', '五险', '80%', '贝壳', '广告行业', '婚假', '待遇', '集团', '客户', '看房', '周日', '完善', '电销', '买卖', '敢于', '指标', '抗压', '效能', '置业', '新人', '出国游', '维护', '提成', '团队', '欣欣', '法学专业', '免费', '餐补', '1.18', '底薪', '机制', '高薪', '经费', '高额', '面销', '洽谈', '新人奖', '销售', '提供', '一金', '合作', '沟通了解', '学历', '计划', '享有', '晋升', '客户资源', '有效', '优秀者', '岗前', '良好', '专业', '充满热情', '以及', '培训', '语言表达', '强烈欲望', '20w', '激情', '房源', '上班时间', '绿色', '老客户', '拜访', '节假日', '法律顾问', '法定', '应变能力', '下午茶', '知识产权', '大专', '20%', '租赁', '一日游', '关系', '空缺', '行业动态', '晋升制度', '转正', '年轻', '带薪', '精神', '肯吃苦', '努力', '20k', '饭补', '聚餐', '链家', '沟通']"
116,安装造价工程师,"['工程预算', '审核', '成本', '造价', '合同', '全过程', '招标', '造价师', '定额', '项目', '预算', '专业', '工程', '计价', '机电', '清单', '结算', '安装', '编制', '控制']"
117,文员,"['邮寄', '报单', '保密工作', '家园', '周末', '管理', '资料', '落实工作', '统计', '最好', '归档', '软件', '就近', '交代', '岗位职责', '实时', '报表', '整理', '录入', '归类', '请假', '外勤', '储存', '房子', '积极主动', '跟踪', '档案', '使用', '一些', '物资', '社保', '操作', '事务性', '原件', '公司', '发展', '供货', '表格', '收纳', '心细', '五险', '办公', '查询', '行政', '全程', '文件', '文员', '贺仪', '单休', '双休', '完善', '节能降耗', 'word', '文秘', '材料', '日常', '工业园', '合同', '通道', '批量', '汇总', '细致', '打理', '维护', '领导', '渝北区', '之间', '订单', '办公自动化', '协助', '做好', '表达能力', '社区活动', '各项', '登记', '责任心', '备用金', '进行', '一金', '物流', '打字', '收发', '普通话', '文书', '百分之十', '小结', '可以', '人际交往', '办公区', '主要', '快速', '会议记录', '协调', '聊天', '数据', 'excel', '四天', '起草', '以及', '单据', '办公设备', '工作', '欲望', '为人正直', '差错率', '集体', '交办', '档案管理', '待人', '催办', '细心', '任职', '办公室', '易耗品', '节假日', '考勤', '以上学历', '大专', '标准', '标签', '承办', '后续', '上传下达', '打印', '电脑', '调岗', '打单', '中专', '电话', '溧水', '熟练', '带薪', '处理', '补充', 'office', '分类整理', '安排', '办公地', '工作岗位']"
118,理财顾问,"['从业', '资产', '投资', '以上学历', '提供', '一金', '岗位职责', '客户', '客户资源', '净值', '根据', '高端', '配置', '理财', '理财产品', '金融', '专业', '维护', '服务', '公司']"
119,贷款专员,"['缴纳', '节日', '提供', '二金', '培训', '贷款', '客户', '文艺类', '享受', '节假日', '法定', '不限有', '主管', '贷前', '扩招', '锦江区', '带薪']"
120,工程项目经理,"['安全', '质量', '脱硝', '施工现场', '过程', '工程进度', '变电', '以上学历', '管理', '竣工', '岗位职责', '过送', '现场', '组织', '环境工程', '项目', '监督控制', '协调', '工民建', '工程项目', '治理', '进度', '工程施工', '建造师', '工程', '施工', '工程质量', '项目管理', '控制']"
121,网络工程师,"['网络系统', '调试', '监控', '实施', '网络安全', 'tcp', '熟悉', '主流', '网络', 'ip', '运维', '路由', '配置', 'h3c', '网络故障', '网络设备', '维护', '交换机', '故障', '路由器', 'cisco', '技术', '安装', '华为', '防火墙']"
122,环保项目经理,"['应急', '大型', '以上学历', '做人', '清扫', '岗位职责', '废水', '具体', '细聊', '回收', '中科院', '治理', '安全控制', '判断能力', '背景', 'voc', '环保', '客户关系', '交际', '许可证']"
